SMILES,des_gap,pred_gap,Err_pred_des
CC.CC=CCCCCC(CO)CNOC,4.0808,4.1093698,0.007001018131557485
CCOCCCCCCOCC(CC)CNOO,4.0808,7.531111,0.8454986187879349
OCOCC1CCCCC(NO)C1,4.0808,5.6152415,0.376014881287339
COC1CCCCCC1CC1CNC=N1,4.0808,5.785686,0.4177823015297892
CCCCN=CCC=CC(C)CN,4.0808,4.3968024,0.07743639124302135
CCN1CCCCCNCCCC1=N,4.8401,5.900622,0.21911156608783475
CONCC1CCCS1=NN[C]NO,9.2239,5.3115225,0.4241565407446218
CCC1CCCCOC(=O)OC=NNCC1,9.2239,3.9073303,0.5763906509630515
CCOCCCCOCC1COOCC1C,9.2239,7.8035636,0.1539843672613412
C=[SH]C(C)CCSCSSN,3.9061,5.642315,0.44448808552998437
C=C(CC#[SH])CCCSSCSC,3.9061,4.369698,0.11868565772456915
NSCCC1CC(c2nccs2)N1,3.9061,7.1746283,0.8367753661584355
C=NNN1CCCC(C)NNN1,3.9061,6.9622865,0.7824137816032761
CCCC=CCCCCCCCCCC=O,1.1457,6.795973,4.931721064935568
O=CC(O)CC(=O)P1C=CC=CC=C1,6.6238,3.4925065,0.47273370209564936
CNCCC=N,8.3744,6.7021785,0.1996825470193725
CCCCCC(CCCSCC=O)CSCO,2.0505,4.0338316,0.9672429145937633
NCCCCCCCCCCCOO,2.0505,6.5330596,2.1860812470204247
CCCOC(CCC)CCCCCCCO,2.7144,9.205768,2.391455802951209
COC(=CC(O)C(=S)NOO)SSO,2.7144,3.5545952,0.30953257884242846
NN1N=NCC1COCCCCNO,2.7144,5.1503596,0.8974210251196275
C=CC(O)CCC(C=O)CCCCCC=O,2.7144,4.709022,0.7348298132683091
N=CCCC(N)CCCNCNO,2.7144,6.0496583,1.2287276372282758
OC=CO,2.7936,7.5199547,1.6918509025617428
CC(C)CCCCNC(CC#N)NN,2.7936,6.46521,1.3142933708968714
NCNNNN,2.7936,6.9062366,1.4721637487684602
CCOCC=NC,2.7936,7.6372666,1.7338440134216695
NCCNC(CS)CCCOCCOO,6.0464,6.696697,0.10755114367349525
O=C=NCCCCCNNNNOONNO,6.0464,4.5097837,0.2541373801250312
N=C(O)CC1CCCC(CO)N1,6.0464,8.020723,0.3265287349324404
O=CCSCCCCCCC=NOO,6.0464,5.3468704,0.1156935660288302
OCCCOCCC1(O)COCOC(CO)C1,7.1285,8.478676,0.18940532261838486
CCCCCCCCC,2.9202,9.112969,2.120666186733284
CCCCCCCC(C)CN(CCO)N=O,10.4921,5.2230077,0.5021961591115606
CCCCOCC(CCC)CCNCCOCCC,10.4921,7.2196274,0.31189872567254473
CC(CN)OCN(N)NN,9.4498,3.2269762,0.6585138144474231
NC(NCCC1CCNC(O)C1)NOO,7.9074,4.293084,0.4570801850681279
NC1CCC=CCCCC1,4.7908,6.435485,0.34330067758400135
C#CCNCNCCCCCCCC[N]C,4.7908,4.8382993,0.009914685322822938
C=CCOON=CC(=O)OOCO,1.1793,4.5144987,2.828117281974327
CCCOSCCCCSCSCOC(C)SCC,1.1793,5.1541286,3.3704982205402816
COCC(O)COCCC=NOC,1.1793,5.543016,3.700259439395118
C=CCOOO,2.2083,8.7591715,2.9664771479875376
CCCCOC(CO)CCNC1CC1C,2.2083,6.616131,1.9960289946372425
CCONN(C=NN)NOCC=CO,8.1846,4.754299,0.4191164914817634
CCC(CCCCCC#N)OC(OO)C(O)O,8.1846,5.976652,0.26976857202725335
CN=CCCCCNN(NO)NNO,8.1846,4.682606,0.42787598413540534
CCC(C)C(CCOCOO)COCCCO,8.1846,5.4829464,0.3300898766129043
OCCCOCCCCCCSC=NN=C=CSO,8.1846,6.952341,0.150558233791277
NN1CC2CC2CCCCNNN(Cl)C1,4.1545,5.8570933,0.40981907189746025
CC(CC[PH](=O)NO)NNC1CCN1O,9.2893,3.056056,0.671013313958636
CCNC1OCCCC1(C)CC,9.2893,6.0652294,0.3470735775684331
N=CC1CCCCC=CCNNN1,9.2893,4.975616,0.46437126820740354
C=NCCCCC1CNCCN1SC,1.6131,6.5830793,3.0810113062263533
COOOC(CCC=NO)CCCC=O,1.6131,6.0922103,2.776709622972018
CCCCCCCNNCCCC=CC1COOC1C,7.7378,5.33426,0.31062317624163954
N=CC(CNONNC=O)OO,7.7378,7.05692,0.0879939967982234
CN=CC(S)[SH](N)CCC=S,7.7378,3.9570205,0.4886116827568637
CCNC1CCCCC(C)(C=O)N1O,7.7378,6.0996766,0.21170402323149906
CCCCCCCCC=CC(CC)CC,9.6682,5.7111077,0.40928945089411906
CC=CCS[SH]=CCSCCC=CCS,3.354,5.165618,0.5401365363178469
C=C=CCCCOCCCCCCOCC,3.354,5.1924844,0.5481468034629389
CCCOOCCCCCCCCCC1CCCC1,5.3326,7.717684,0.44726470991903716
CC1CC(CO)(SSON)C1NO,10.9443,7.0784907,0.3532258130624762
CCOCCCN(O)CNCN(C)CC,10.9443,7.54764,0.31035883091638955
O=C(O)CCNCCC(=O)S,7.2542,4.3827047,0.3958389988141703
CCC(N)CC(O)C(OO)C(=O)O,7.2542,5.2227826,0.28003327564074276
CNNCC(CO)CCCCCCOC,7.2542,6.9325414,0.0443410203203874
CC=CCOCC,2.124,7.464679,2.5144438626851513
CCCCOCCCCCCCCCCNCCCS,2.124,8.228788,2.8741941505906268
N=C(O)NN=CCO,5.6137,4.525101,0.1939182384443467
CCOn1[nH]o1,7.0642,6.728,0.0475920608091528
O=COCC(CCOC(O)OO)OOO,7.0642,5.112512,0.27627868524902766
C=C(CC)CC=COCC(C)CC=CO,7.2514,6.9681892,0.039056011321682314
C=C(C=NCC)NC1CCNCC1CCCC#N,7.2514,5.939319,0.1809417307335763
CCC1=CC=C1,7.2514,5.0704517,0.3007623718936764
C=CCCCC(C)CCCCNCN=C,2.9865,4.100183,0.3729057458902791
C=CCCCCCCCCCNNNNC,5.4854,7.104603,0.2951840911730599
NOONC(COO)NOCC(=O)NO,5.4854,4.7601957,0.13220626898372062
CCCCCCN(CC=O)CNOO,6.7975,4.9285154,0.27495175663624327
CC(N)C#CCCCC(C)C,10.6425,7.4721675,0.2978935877930146
N=CNSSSSCCS,10.6425,3.6045845,0.6613028465595384
NOC=CC1NCCCNO1,9.5995,4.843515,0.4954409167893114
O=[PH](CO)CCC(O)O,9.5995,6.573497,0.3152250827082161
COCSCC1NCC(C(O)OO)N1CN,9.5995,5.9776497,0.37729572491059926
C=CCCSCCCC(C)([N])OCO,7.8973,5.641939,0.2855863189687605
C=CCCCCCCC(CS)NS,7.8973,5.6348343,0.2864859775428588
CCCNOCCCCCC(C)CCC1CC1CN,7.8973,8.19306,0.037450764345364616
CCCCCCCC=CCCCCCCCC,9.6477,5.5400233,0.4257674547432259
CCCCSPPSC1=C(C)CC1,4.4801,6.7648325,0.5099735489482525
COCCCCCCCCNNO,4.4801,5.6259065,0.2557546633864744
CC(O)CCN,4.4801,8.344073,0.86247478752556
C=C1NNCCCC(C=NNN)N(CO)C1OCCOC,4.4801,5.293858,0.18163836773733813
CCOCOOCOCCCNCCCCCCCCN,1.3551,7.545242,4.568033232036864
C=CCCNCC(N)C=O,1.3551,4.7720556,2.521552376884014
