SMILES,gap_pubchemqc
O=C1CCCCC(=O)N1CC(O)CNC1CC1,4.966078
[CH]CCCCCC=CCCCC,3.954
CC(O)=NC(CC(=O)O)C(=O)O,6.781
CC(O)CCc1ccc(C(C)(C)C)cc1,6.289
O=C1CC=CC=C1C(O)=C(O)O,2.58
C=C1C(=O)OC2C(OC=O)CCCC12,5.973
O=C1C=CC(=O)C(c2cccc3cccnc23)=C1,3.099
Cc1ccc(C)c2c1CC(C(=O)O)CC2C,6.234
CC(C)(C)c1cc(N=O)c(C(C)(C)C)cc1O,3.216
CC(=O)OCCOCCOCCC(C)C,7.165
COc1ccc2c(c1CC=O)OC(=O)N(C)C2,5.64092
CC(O)C(C)OC(=O)C(C)(C)C,7.483
CC(C)(C)CCCCOCOC(C)(C)C,9.165
CCCC1CC1CCC,9.551
CCOC(=O)C1=C([NH])NC(OC)=N[CH]1,4.452
CCCSC(C(=N)O)c1ccccn1,4.689
CC(C)COCCCN,8.509
Cc1ccc2c(c1)CCCC2,6.139
CN1C2Cc3ccccc3C1Cc1ccccc12,5.464
CC1(C)[C]2[CH]CCC1C2,4.667
NN=C(O)CCc1ccc([N+](=O)[O-])cc1,3.276
CC1(C)CCC2(CC1)CC(=O)OC(=O)C2,6.618
CCCCn1ccnc1,6.885
C#CCCC(C)(C)C,8.547
CCOC(=S)SC(=O)c1ccco1,3.848
CCCCOP(=O)(C(C)C)C(C)C,8.357
CCC1=CC(C)(C)CC(C)=C1,5.059
Cn1nccc1CNc1ccc(C#N)cc1,5.06676
CCC1(c2ccc(O)cc2)CCC(O)=NC1=O,5.072
COC(=O)c1cc(OC)cc(OC)c1,4.819
OC=NN(c1ccccc1)c1ccccc1,4.343
CC(C)C1(C)CCCC1C,9.774
O=S1Oc2ccccc2O1,5.148
CCOC(=O)Cn1ccnc1[N+](=O)[O-],4.667
COc1c([N]C#N)ccc([N]C#N)c1OC,2.841
CC(C)CC(=O)OC(C)C,7.529
CC(C)(O)C1CCCN1,7.859
COP(C)(=O)N1CCCC1,7.978
C=C(C)C(=O)OCC1CO1,6.104
O=C(O)CSCSCC(=O)O,6.21
O=C(OC1CN2CCC1CC2)c1cccs1,4.248
CN(C)S(N)(=O)=O,8.046
CC(O)=Nc1nnc(-c2ccccc2C)s1,4.509
O=C1CSC(=O)CS1,5.573
CC1CCCCN1c1cncc(C(O)=NN)n1,3.81
CP1(=O)CCCO1,8.719
Cc1cc(C(=S)N2CCOCC2)c(C)n1C,4.174
CCOS([O])([O])CCC(C)(C)C,8.999
COc1cccc2nc3ccccc3nc12,3.423
O=C(O)c1cccnc1,5.54
CCCCCSC#N,6.471
CC(C)(O)COC1CCNCC1,8.041
Cc1ccc2c(c1)CC=C2,5.173
CC(C)C(O)CCO,8.776
CCC(C)C(=O)c1ccccc1,5.135
c1cnc2c(n1)[N]C[N]2,3.619
CCCCN(c1ccc(F)cc1C#N)C1CC1,4.430013
NCCCCNCCCCN,7.685
CC1(O)CCC(C)(O)CC1,8.495
CC(=O)C=CC1CC1,5.265
