MolWt,HeavyAtomCount,HeavyAtomMolWt,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumRadicalElectrons,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumAromaticHeterocycles,NumSaturatedCarbocycles,NumSaturatedHeterocycles,Logp,TPSA,QED,gap
266.43699999999995,15,260.389,4,0,4,0,74,0,0,3,0,2,1,0,0,0,0,3.404390000000001,0.0,0.5200462824048179,1.5775707487226
248.30300000000003,17,236.20699999999997,3,2,4,1,88,0,0,2,0,0,2,0,0,0,0,2.9811000000000014,46.53,0.24643617554311542,1.93485620151875
329.60900000000004,15,322.55300000000005,7,1,8,0,82,0,0,2,0,0,2,0,0,0,0,5.4323000000000015,12.03,0.3563190806839294,2.013642308219
222.359,13,216.31099999999998,3,0,3,2,64,0,0,2,0,1,1,0,0,0,0,3.5485000000000015,0.0,0.712726337126944,2.01418653586987
238.32,16,224.208,6,3,7,6,86,0,0,1,0,0,1,0,0,0,0,-0.05852999999999969,89.86,0.44655345355221754,2.01799612942596
204.27899999999997,13,200.24699999999999,4,0,4,0,62,1,1,3,0,0,3,0,1,0,1,0.9008999999999999,24.72,0.5762616594294535,2.02615954418901
289.476,16,278.388,6,2,7,2,86,0,0,2,0,0,2,0,0,0,0,4.341200000000002,36.75,0.45026032647815833,2.0586486
242.343,17,228.23099999999997,2,0,2,1,86,1,0,1,0,0,1,1,0,0,0,2.552100000000001,9.23,0.7482499886655612,2.078260187523
200.24100000000004,15,188.14499999999998,3,2,3,2,76,0,0,2,0,1,1,0,0,0,0,1.4304,44.620000000000005,0.7078893124371904,2.0831466
212.216,16,204.152,6,0,6,0,78,0,0,2,0,0,2,0,0,0,0,0.9673,65.03999999999999,0.5895647253223328,2.08479091933344
220.217,15,216.185,7,1,8,1,74,1,0,2,0,0,2,0,1,0,0,-1.06091,92.49000000000001,0.480706143554478,2.10356677328845
246.36,16,236.27999999999997,3,1,4,1,80,0,0,2,0,0,2,0,0,0,0,3.4460700000000015,36.21,0.3269928372427255,2.10519945624107
187.22299999999998,13,182.183,3,0,3,1,62,0,0,3,0,1,2,0,0,0,0,1.9784,29.43,0.6277834250147645,2.1217983995926
195.247,13,186.17499999999998,5,0,5,5,68,0,0,1,0,0,1,0,0,0,0,2.3439000000000005,54.15,0.49909413889916326,2.12520897664735
206.291,13,200.24299999999997,2,0,3,0,64,0,0,3,0,1,2,0,0,0,0,2.5660000000000007,17.07,0.5665647715353305,2.12847434255257
252.27700000000004,19,240.18099999999995,4,1,5,0,94,0,0,2,0,0,2,0,0,0,0,1.4754000000000003,80.17,0.7080838596020727,2.1325560499341
179.14700000000002,13,174.107,9,0,9,0,66,0,0,1,0,0,1,0,0,0,0,2.0957999999999997,111.24,0.5417136663810086,2.13485986321348
274.482,14,268.43399999999997,4,1,5,0,72,1,0,2,0,1,1,1,0,0,0,4.572020000000002,0.0,0.42409056081813873,2.13594831851522
204.319,13,196.25499999999997,2,0,2,0,64,0,0,2,0,1,1,0,0,0,0,3.5531000000000015,0.0,0.5533672976816205,2.14806653798389
220.32200000000003,14,212.25799999999998,4,1,4,1,70,0,0,2,0,1,1,0,0,0,0,2.527800000000001,38.379999999999995,0.7376631274377458,2.15118669273958
214.38,12,204.29999999999998,1,1,3,1,64,0,0,2,0,0,2,0,0,0,0,2.9544000000000015,0.0,0.3976841576121192,2.15133190388911
212.25600000000003,16,200.16,4,0,4,0,80,1,0,1,0,0,1,0,1,0,0,3.1534000000000013,42.54,0.6509444256618797,2.15336360334306
201.27299999999997,15,186.153,3,1,3,0,78,0,0,1,0,0,1,0,0,0,0,2.0004,50.739999999999995,0.639948953802269,2.16194434308107
233.361,15,222.27299999999997,2,1,3,0,76,0,0,2,0,1,1,0,0,0,0,3.100200000000002,12.03,0.6457121277008835,2.16751352226568
259.399,17,246.29499999999996,3,0,3,1,86,0,0,1,0,0,1,0,0,0,0,4.458400000000003,12.36,0.3914598053431074,2.17527792052739
