SMILES,des_gap,pred_gap,Err_pred_des,tsne1,tsne2,SMILES_HA,gap_group
CCCC1CCOC(C=O)C1C,6.814,6.5668807,0.0362664069603152,-50.24378,-0.6085136,12,2.0
CCC1CCCCCCCCCCCCN1,6.0845,7.366741,0.2107389564335477,-36.511917,10.960466,16,2.0
CC1CCCCCCCCCCCCOC1C,9.715,8.998064,0.073796804823706,-48.7107,-18.071547,17,3.0
CCCCC(C)OC(C)CCC(C)CC,9.004,8.986472,0.0019466759416061,-39.418053,-28.610775,15,3.0
CCN(C)CCC=C1CCCCCC(OC)CC1,4.792,6.687652,0.3955868345270173,-3.251199,16.774555,18,2.0
C=C1CCCCC12COC(C)(O)C2,7.4668,7.427443,0.0052709289794372,-0.94815487,0.6737773,13,2.0
CCCC(COO)OC,8.561,8.278849,0.0329577563285493,-23.086712,-37.119804,9,3.0
OCC1CC(CO)C1C1CCCC2C=CC2C1,6.0817,6.2253804,0.0236250424527376,10.525354,20.385628,17,2.0
CCCC(C)NC=CCCC(C)C1CN1,5.644,6.1841903,0.0957105374353139,-2.6258273,21.31152,15,2.0
CCC(CC)C(C)COCC(C)CCO,7.731,8.664346,0.120727686104252,-34.528427,-26.19497,15,3.0
CCC(C)CCC1CC(C)[PH]1(O)COO,7.358,8.39883,0.1414556148163033,-30.166584,-31.15401,15,3.0
N=C(COCC1CC1)C1C=CC(O)CCC1,8.833,7.0041447,0.207048039332152,6.904862,18.34668,16,2.0
CC=C(C)C(CCCC)C(O)CCCCCCO,6.37,7.281159,0.1430390775671559,-28.16908,17.718801,18,2.0
C#CCCC1CCCCC(C)CCC1,7.233,8.571887,0.1851081178344237,-3.889723,-11.565972,14,3.0
C#CCOCCCCCCC1CCCCC1,8.806,8.699884,0.0120503730782588,-28.722494,-11.324513,16,3.0
CCCCCCCCCC(C(C)NO)C(O)N(O)CCC,7.938,8.697983,0.0957398322103726,-5.629267,-35.266273,21,3.0
CC1CCCCOC[C](CO)OCC1,9.489,7.0194535,0.2602536067506363,-36.027115,8.794841,14,2.0
CCC(=N)OC(C)(OO)OOO,5.472,6.6304736,0.2117093592359307,1.8937958,38.029922,12,2.0
COCCCC(C=C=O)CC(C)OC,7.347,7.5053496,0.0215529653025562,-37.911983,3.3346035,14,2.0
CC1NCS(=O)C1NC(O)O,7.908,6.142054,0.2233113200603016,15.076004,5.769889,11,2.0
CC1CCCC(C)C(O)CC(C(C)OO)P1,8.792,8.018976,0.0879235428175782,-25.411629,14.481346,16,3.0
CN1CNCC#CCC1(O)CN,8.855,6.4847007,0.2676792004766739,-8.940336,-25.73987,12,2.0
CCCC1CCOCCC(O)C(OC)O1,6.852,8.11327,0.1840732349544954,-13.791881,-19.941364,15,3.0
COCCCC(C)CCCNNCCCC(C)(C)N,7.268,7.650055,0.0525667214695411,-35.447945,23.14597,19,2.0
CCCC(C)CCC1C=C(CC)CO1,5.948,7.0461693,0.1846283256566676,4.4432216,-8.186714,14,2.0
CCOC1COCC1CCO,9.11,8.940413,0.0186154253527308,-21.57759,-39.904957,11,3.0
CCCCCSOCCSC,5.668,6.5251164,0.1512202617561808,-1.7516272,-43.332863,11,2.0
CC1CC(CCC2CCCC2=O)C1,7.363,7.2317653,0.0178235406446891,-24.230228,-1.9639771,13,2.0
CN1CCC2C3NC(C1)ON2N3,5.88,6.9904137,0.1888458615257626,16.20254,28.178688,12,2.0
CCOC(C)CC1NCCN1NNCCN,4.289,6.655581,0.5517792020207605,19.635305,23.652174,16,2.0
CC(C)C(=O)CC(C)(C)C,9.513,7.177297,0.2455274765766921,-39.485157,21.730837,10,2.0
CC1CCCCC(CCO)C2C=C(CC1)CN2,8.607,6.924963,0.1954266297854625,-29.387959,24.898533,17,2.0
CCCCCCC1C(CCC(O)CCC(O)OO)C1OO,7.026,7.8288174,0.1142637870130531,3.9341393,41.547577,21,3.0
CC1CNCCCONCNC(O)COC1,3.532,8.127091,1.300988507297814,14.027938,4.4325333,16,3.0
CCCC(C)CCC=CC(C)CCC(CC)CC,9.51,7.250888,0.2375512228403181,-47.922817,11.852107,18,2.0
CCCC1(C(C)N(C)CC)CC1,8.1416,7.815713,0.040027398942226,-21.43916,2.294705,12,3.0
CCC(C)CCSC[SH](C=O)CN,5.263,6.286001,0.1943760603162333,19.575554,-17.997173,13,2.0
CC.CCCC(C=N)CC(C)(O)O,5.0314,7.1198134,0.4150760110963599,-35.553276,9.919033,13,2.0
CCCC(O)C(O)CC(=O)CNOC,8.019,6.60156,0.176760180095497,-40.566914,-2.3513308,14,2.0
CCCC1CC2C1CC1CCCC3CCC(C1)C32,8.776,8.513613,0.0298982740209226,0.47762525,9.9351225,18,3.0
COCCCNCCOCCCCC(C)C,8.387,8.259388,0.0152154560664477,-34.87327,9.555634,16,3.0
C=C(CC)CCCC(CCCC)CCC(C)CO,8.408,7.4257812,0.1168195468601331,-16.419231,-7.8247247,18,2.0
C=C1CCC(NCO)COC2CCC1C2,9.004,6.6910825,0.2568766684174166,-15.72322,14.6163,15,2.0
CC1CCOC=CCOC(C)(O)CC1,8.163,7.075335,0.133243289747966,-48.487404,-0.46364576,14,2.0
CCC1NCCC1SCC1OC1O,7.189,6.613805,0.0800104580331469,-10.019468,-9.977275,13,2.0
CCCC1CCCNC1CCCCC1NN1,5.309,7.164662,0.3495313400466869,-21.858688,5.694882,16,2.0
C=C(C)C1COC1(C)C(N)CCO,5.091,7.401886,0.4539159273871783,10.162478,11.066655,13,2.0
C=C1OCCCCC1CCCCCCCCCC,9.421,7.362007,0.2185535355999064,-35.878048,23.457323,18,2.0
CC(C)COC1=CC(OCCO)C1,8.966,7.0452557,0.2142253333693126,-37.92063,-6.0766892,13,2.0
C=C(CNCC(C)C(C)N)CC1(C)CCC(C)C1,7.856,6.595027,0.1605108235858365,16.018642,32.649063,18,2.0
CC1CNCCCC1C(C)(C)O,7.336,7.708547,0.0507834126671111,9.470106,20.973951,12,2.0
CCC1CCN(C)C12C=C2NN,8.174,6.526125,0.2015995896472188,-11.561526,-33.907272,12,2.0
CC1=C(OO)C1C1CCCCCC1C,6.283,6.8462453,0.0896459157804992,-12.543035,-26.826473,14,2.0
CCC1CC2CCC1CCCC2C(C)(C)C,7.233,8.95483,0.2380520074212269,8.409768,12.75478,16,3.0
CCCCCCCOC(C)C(C)CCOCCCC,8.651,8.12335,0.0609929322121584,-46.2609,12.471537,19,3.0
CCC(C=CO)(CO)COCCCNOC,3.146,6.385331,1.029666609621624,11.80512,39.1245,16,2.0
C=C(C)NCCNCC(=N)CN,6.517,6.454357,0.0096122223083018,-16.219809,-6.722202,12,2.0
CCC(=O)C1CC(C)C1(CO)NN,7.431,6.991289,0.0591725018444428,-3.5578399,11.191878,13,2.0
CC1=CNCCCC(C(N)=O)C1,5.75,6.073411,0.0562453891920006,-1.7363664,-10.392975,12,2.0
CCCCOC(=CC(C)C)CCOC,6.887,7.003361,0.0168957782965259,-31.741962,-25.83267,14,2.0
COC(=O)NC(=O)NN(C)CCCN,3.791,6.832432,0.802276917228407,20.054617,25.446419,14,2.0
CCC#CC(C)(C)CC,8.743,6.5892673,0.2463379556358536,-6.555785,-41.491207,9,2.0
C=C(CCC(C)OC)C(CC)CO,7.01,7.4871435,0.0680661221883776,-34.20909,3.782441,13,2.0
CCC1ONCSCCCC(S)C(C)C1=O,4.746,6.2119603,0.3088833366422977,13.148358,-0.3477945,16,2.0
CCCCOC1(OCCO)OCC1CO,9.505,8.677427,0.0870670918600614,-38.003235,-13.9648,15,3.0
CCOCC(CCCCCCC(C)CC)COO,8.512,8.513715,0.0002014556325467,-40.172012,22.055098,18,3.0
CC(CNOO)C1(C(O)NO)CCC(C)(C)C1,5.47,7.1858225,0.3136786996119637,4.997803,41.46581,17,2.0
CCC=CCCCCC(C)C,7.222,7.185635,0.0050352963342194,-16.500227,-39.0042,11,2.0
CCC(CC)CCCC(CC)CC(=O)C1CC1,8.463,6.900392,0.1846399556290351,-25.471048,22.159817,17,2.0
C=CCCC(CCCC)OCC,7.679,6.8629284,0.106273161804541,-34.813,-26.617039,12,2.0
CCCOC=CC(C)(CO)CCC,5.774,7.506193,0.299998815554337,-19.71258,8.661695,13,2.0
COCNCON(O)PC1CNC2C(C)CNNCCC12,5.094,6.768791,0.3287772278622827,17.672035,42.735924,21,2.0
C#CCC(C)OC(C)C(C)CC,8.381,8.273755,0.0127961969278889,-37.056152,-13.728626,12,3.0
COCCCOCCCCCCCN,9.91,7.8180075,0.2110991453907925,-15.841799,-40.601097,14,3.0
C#CC1CC(C)CC1CC(CC)C1CC1,7.753,8.334303,0.074977802427664,-12.077554,3.8544936,15,3.0
C=NCCC(C)NC,5.921,6.7288356,0.1364356667341925,-6.7659636,-36.985104,8,2.0
CCNPCC(C)CCCCOC(CC)CCN,7.72,7.123792,0.07722899333183,-29.886337,17.38315,18,2.0
O=CCOCCCCCCOCCCOCCO,6.547,7.5970106,0.1603804204197026,-15.443523,-26.530188,18,2.0
CCCCC1C(CC)COCC1CCOC,9.1,8.226887,0.0959465110694968,-42.660458,-15.253419,16,3.0
CCC(O)CCC1CCCCCO1,9.853,8.920887,0.0946019493140968,-33.45966,2.4460819,13,3.0
C=CCNCC(C)CC(=O)SC=O,4.343,6.0098114,0.3837926321361242,-3.4042797,33.747528,13,2.0
CCC1CCCOOCC1CC,6.852,7.96176,0.161961477539098,-30.87302,-25.926453,12,3.0
CCC1COCC(CCCCC=O)C1,8.115,6.5746064,0.1898205275896957,-37.481262,-11.950136,14,2.0
CCCN(C)C(O)(O)C(C)CC(C)C,6.817,8.434336,0.237250360659845,-4.6921077,10.833969,14,3.0
C=CCCOCC(CCCC(=O)CO)OO,5.382,6.2891307,0.1685489943726539,-22.825441,17.730228,16,2.0
CCCCOCCNCC(N)C(=O)COO,6.474,6.646293,0.0266130928791412,-18.139061,-12.021362,16,2.0
CCC1(C)CCC(C)C(CCO)COC1,8.256,8.59151,0.0406383017236871,-13.067845,18.43305,15,3.0
C=C(C)C=CC(CCO)C(O)CC,6.384,6.379341,0.0007297735763971,-10.349219,0.5226291,13,2.0
CC(C)(O)CCCC(N)CO,8.349,7.8917103,0.0547717952602622,-37.34571,16.8934,11,3.0
CCCC(OC)=C(C)CC(CCO)OOC,9.075,6.881974,0.2416557333029333,-46.113747,10.617664,16,2.0
CCC(O)C(C)(N)CCCCC#N,5.761,7.875653,0.3670634941971151,-31.369482,-12.089495,13,3.0
C=C1COC(CCCO)CCCCC(CCCO)C1,7.396,7.6930704,0.0401663617742197,-5.005333,33.513844,19,2.0
CC(CCCC1OC1C)CCOCCCN,7.97,7.7467365,0.0280129828746225,-41.678135,-5.2800546,16,3.0
CCC(N)CCC1CCCCCC(C)CC1,9.119,8.125247,0.1089760936892258,-50.7323,-4.1396255,16,3.0
CC1C=C2C(C)CC2(COO)CC1,5.472,7.1600056,0.308480549974051,4.114073,-8.2630205,13,2.0
C=C1NCCCC1C(C)NCNNS,3.538,6.1667323,0.7429995226819615,16.335913,3.8457923,14,2.0
CCC(COCCCSC)CC(C)N,3.061,6.935028,1.2656086495171104,-5.2977786,-5.7225137,14,2.0
CC=C=C(O)CCCCC(C)=NO,3.573,6.374208,0.7839932755332283,20.88004,12.192501,13,2.0
CC1CC2CCCCC2C2CCC12,10.645,8.259343,0.2241105545065446,-30.16022,-12.110243,13,3.0
CCCC(CC)C(C)CCNSC(C)SC,5.135,6.3986673,0.2460890624167973,-34.707127,5.54129,16,2.0
CCC(C)CC(COC)C(C)C,8.977,8.809843,0.0186205788844277,-35.933567,-13.668695,12,3.0
CCOC(C)SCC(C)NNCOS,8.381,7.01757,0.1626810620727466,-2.400875,9.389873,14,2.0
CCCCCC(C)CCC(C)CC,9.233,7.800732,0.15512486344929,-38.167374,-28.871607,13,3.0
CCCCC#CCCCCNCC,5.3089,6.043514,0.138374008715897,-15.151469,-33.506805,13,2.0
CSC1CCCC2CCCCC2C1,2.683,6.9998775,1.6089740785875295,16.360384,-24.64701,13,2.0
CC1CC(OCCOO)CCCC1CO,9.11,8.447926,0.0726755688664156,-30.468393,16.033072,15,3.0
C#CCCOC(OCCCO)C(C)CC,7.859,8.793121,0.1188600760771885,-39.418682,-25.671085,15,3.0
CCC(CC)C1CC(C)OC(C)N1,8.855,7.992943,0.0973525906201475,-48.117615,-5.74721,13,3.0
CCCCCCC(CCO)CC(O)CC,7.818,8.006335,0.0240899537584915,-40.004456,3.7326462,15,3.0
CCCC1CC1C1(C)OC1(C)N,8.558,8.181937,0.0439428350417851,-17.644493,2.2030234,12,3.0
CCCCCCNC1(N)CCCCCCN1,5.342,7.752862,0.4513032528310625,-6.5340047,9.816267,16,3.0
C#CCOCC(CCCC)CC(=O)O,6.912,7.4838085,0.0827269267152857,-36.278908,-6.494502,14,2.0
CCC1CCCCCCCCCCOCCC1,8.708,8.765947,0.0066544949378669,-46.627735,4.0378623,17,3.0
CC.CC=CCCCC,6.887,7.5758057,0.1000153425384783,-6.823422,-45.51184,9,2.0
COC(OCCOCCCO)C1OCCCC1O,8.316,7.8452625,0.0566062376784728,-6.3926997,-35.422207,18,3.0
CC1=CCCOC(C)(C)C1CCOOO,9.075,6.4185147,0.2927256497469814,-24.602915,2.5994246,15,2.0
CCCCCCCCC(C)CC#N,7.962,8.857959,0.112529363682509,-18.099808,-36.854237,13,3.0
CC(C)C(C)CC(S)CSC#[SH],8.354,6.241935,0.2528208311819304,-9.302955,30.690521,12,2.0
