tsne1,tsne2,gap,SMILES,SMILES_HA,gap_group
-45.35153,-5.20825,7.437,NC1CC(O)CC(O)C1,9,2.0
-30.606012,-16.650782,6.536,CN(C)CCC(=O)N(C)C,10,2.0
-19.181534,-24.596296,6.936,COC(=O)C1COC(C)(C)O1,11,2.0
-19.475306,-30.736069,9.214,CCOC1OC(C)CC(CC)O1,12,3.0
-58.127987,31.50519,7.913,NCC(O)CN,6,3.0
2.5109823,18.06744,5.026,CC1=CC2CCCCC2c2ccccc21,15,1.0
-45.61914,4.5549283,9.369,CCCC1C(C)CC1(C)C,10,3.0
-10.325992,-29.32794,7.742,NC12CC3CCC(CC(C3)C1)C2,12,3.0
-29.126602,-14.444532,6.215,C=C(C)C(=O)OCCCC,10,2.0
41.859646,-19.978045,2.343,CN1[C]2NC=CNC2=NC2=C[CH]C(=O)C=C21,16,0.0
13.050574,37.358856,5.372,c1ccc(-c2ccccc2)cc1,12,1.0
-63.61176,26.581333,7.812,CCCCCCOP(O)O,10,3.0
-56.150276,31.841785,6.444,CCC(CC)N=C=S,8,2.0
-29.96284,-16.44624,8.985,CCCC(CC)S([O])([O])O,10,3.0
41.849964,-3.1792142,4.528,Cc1cc(C)c(O)c(C(=O)C(=O)O)c1,14,1.0
28.617033,-18.628069,4.713,CC(C(=O)O)c1cccc2ccccc12,15,1.0
-58.2981,33.410748,8.645057,OCC1(O)CN1,6,3.0
31.99844,-27.28919,5.021,O=COCCN(C=O)c1ccc(C(=O)O)cc1,17,1.0
26.624218,24.424913,3.385,NC1c2ccccc2C=C2C=CC=CN21,15,0.0
15.057133,-39.254078,7.652,CCCCC(=O)OC1CC2CCC1(C)C2(C)C,17,3.0
-12.843932,-42.74218,8.686,CC(C)(O)C1CCC(CO)CC1,12,3.0
27.20893,31.084414,4.572,O=C(O)c1ccc(-c2ccccc2)nc1,15,1.0
10.811216,23.43728,4.332,COc1ccc(OC)c(OC)c1C=O,14,0.0
-8.931754,-42.82043,7.091,CCCC(CCC)C(=O)N1CCCCC1,15,2.0
18.762589,6.5915313,5.056,O=c1nc(NO)ccn1C1CCCO1,14,1.0
-36.385056,12.15939,7.271,NCCCCN1CCCC1=O,11,2.0
5.5694375,26.676836,6.081745,N#CC(Cc1ccccc1)N1CCCC1,15,2.0
42.691753,-15.182857,3.069,O=C1C=CC(=O)C(C2OCCc3ccccc32)=C1,18,0.0
-5.9029922,39.635967,6.411,CC1NCCn2cccc21,10,2.0
-22.439064,-37.29235,6.313,CC(C)CCCCCOC(=O)CS,13,2.0
20.644144,-18.857872,4.444,CCCC(=O)C(CC)C(O)=Nc1ccccc1,17,1.0
-8.124395,-6.946578,9.023,[O]S([O])(O)C1CC1,7,3.0
-40.55579,-22.080536,7.208,CC1C=CCC(CO)C1CO,11,2.0
-2.6081169,-15.661852,6.446,N=C(O)CC(N)C(O)=NCCO,12,2.0
-31.749296,10.284771,6.414,CC(=O)OC(CS)CS,9,2.0
-6.194105,40.22805,5.581,CCCCNCc1ccccn1,12,1.0
3.3863876,11.478758,5.709,Cc1c(O)cc(O)c(C)c1C,11,1.0
27.249525,-33.34319,7.761,CC(C)OC(O)=NC12CC3CC(CC(C3)C1)C2,17,3.0
-52.579926,17.642273,6.596,CCC=CCC=CCCO,10,2.0
-26.237371,-15.948598,7.132,CCCCC(C(=O)O)N(C)C,11,2.0
-6.190141,1.3321962,4.71,C=CCC(C=C)=Cc1ccccc1,13,1.0
-51.13931,15.249583,8.109,CNC1CCCC(O)C1,9,3.0
-27.25497,-5.983847,7.546,COC1N=C(O)NC1OC,10,3.0
-51.949047,4.5500793,8.996,CCC(C)CCC(C)CO,10,3.0
29.509922,35.940174,4.561,Nc1ccccc1-c1nc2cnccc2[nH]1,16,1.0
27.29292,37.441364,3.706,O=c1cccc2c3ccccc3ccn12,15,0.0
-3.7464821,-27.168972,4.528,C=C(C)C1=C(C)C=C(CC)C1,11,1.0
-26.084541,-21.811039,7.559,CCC(CCCC(=O)OC)CCC(=O)OC,16,3.0
-58.044346,26.529549,8.362,CC1CN(C)CO1,7,3.0
19.566767,1.1740106,5.187,C=CC(=C(CC)c1ccccc1)c1ccccc1,18,1.0
0.7210662,26.20028,5.255,N=C1CCN(c2ccccc2)N1,12,1.0
43.84291,5.058682,3.733,Cc1ccc(C=Cc2ccc(N(C)C)cc2)cc1,18,0.0
34.788147,31.77333,3.752,c1cc2c3c(cccc3c1)-c1snnc1-2,15,0.0
-36.829254,-34.790504,8.904,CCCCCCCCCC(C)(O)CCC,15,3.0
-47.586674,12.947309,6.92,CC1=CCCCCCC1,9,2.0
22.079414,-29.385004,6.37,O=C(O)C1C2C=CC3CC(O)C(C1C(=O)O)C32,17,2.0
9.39932,-14.647461,4.879,C=CCC12CCC(=O)C=C1CCCC2=O,15,1.0
40.957428,-19.733358,4.574,C1=C[C]2C=C[C]1[C]1C=C[C]2C=C1,12,1.0
-43.55465,5.6346817,9.012,C1COC(CCC2CO2)C1,10,3.0
-47.19366,5.5329237,8.705,CC1(C)CCCCCC1O,10,3.0
-40.58801,-24.558527,9.004,CC(CC1OC1C)CC(C)(C)C,12,3.0
51.629482,-16.359184,2.778,O=C1[CH][CH]C(O)=C(O)[CH][CH]1,10,0.0
0.58004814,-28.809042,5.581,CC(C)(C)S(=O)Cc1ccccc1,13,1.0
27.86153,-8.266092,4.927982,NCC1(NC(=O)c2ccncc2)CCCCC1,17,1.0
-11.554851,9.515333,5.543,CCOC(=O)Cc1cccn1C,12,1.0
-9.443647,27.000332,3.728,NN=C(O)c1csnn1,9,0.0
28.732939,-21.536467,4.67,CCOC(=O)c1nn(C)c(=O)nc1O,14,1.0
-0.4056796,-31.710064,5.603,CC(C)(C)C1C(=O)COC1=O,11,1.0
-45.435852,-3.7188191,7.366,NCCCCCCN1CCCCCC1,14,2.0
20.845257,8.179386,5.167442,C#Cc1cccc(NC(=O)NCC(=O)O)c1,16,1.0
-60.226322,8.315979,7.611,CCC(CC)C(=O)OC,9,3.0
-25.314331,-15.433627,9.059,CCCC(C)S([O])([O])O,9,3.0
46.76688,2.962518,4.745666,Cc1ccc(C(F)(F)F)[n+]([O-])c1C,13,1.0
5.0899034,-40.73567,6.457,CCCCC=CCN=C(O)N1CCCC1,15,2.0
12.012078,17.34274,5.173,CCOc1cccc(N=CN2CCCCC2)c1,17,1.0
-3.3992636,5.7425737,6.544,C[C]1N=C(CCN)[N]N1,9,2.0
-16.105145,3.9955626,4.974,CCCCOC(=S)SCC(=O)O,12,1.0
30.476149,33.184082,4.699406,Nc1cccnc1Nc1cc(Cl)ccc1F,16,1.0
-50.30179,4.293386,9.965,CC(C)CCCC1CCC1,10,3.0
-24.436077,-30.805264,6.697,CC(C)=CCCC=C(C)CO,11,2.0
11.003837,17.055525,4.413687,Cc1ccnc(C2=CCCC=C2)c1,13,1.0
-23.81302,-37.814495,9.668,CCC(C)C(CC(C)C)CC(C)(C)C,14,3.0
7.008127,-26.465132,4.144,CCC(=O)C=CC=C(O)C(=O)O,12,0.0
-9.972368,-38.896427,8.906,CC(C)(C)C1CCCC(CCC#N)C1,14,3.0
2.2191918,26.582247,4.531,Cc1cc(O)c2ncccc2c1,12,1.0
48.72331,11.984827,2.335,Nc1ccc2[nH]c3cccc(=O)c-3nc2c1,16,0.0
24.603384,23.657467,3.88,Cc1coc2c1C(=O)c1ccccc1C2=O,16,0.0
-24.126745,0.4911371,7.404,O=C1CCC2CCC(CC2)O1,11,2.0
44.04056,3.5638492,5.244,N[C]1N=C[N]c2c1ccn2COCCO,15,1.0
19.544533,-13.499089,3.181,COC1=CC(=CNN=CO)C=CC1=O,14,0.0
3.9395316,-42.528507,5.562,C=CC(O)=NCCCCCCCCCCCC,17,1.0
2.8152442,25.568064,4.463,CC(=O)c1cc(O)ccc1O,11,1.0
-57.61397,5.5832987,8.207,CCC(C)C(C)OCCN,10,3.0
47.17138,-22.171019,6.049,CC1([N+](=O)[O-])COP(=O)(O)OC1,12,2.0
57.785385,-11.685638,3.298,CCC(O)=NNc1ccccc1[N+](=O)[O-],15,0.0
-16.176659,-27.024155,7.834,C1COC(CN2CCNCC2)C1,12,3.0
48.495667,-8.342811,3.475,CC(N)=Cc1oc2ccc(O)cc2c1[N+](=O)[O-],17,0.0
48.01935,-21.069695,3.905,NC(=O)C(=O)NN=Cc1ccccc1[N+](=O)[O-],17,0.0
-26.309238,-12.072164,8.085,CC(C)OC(=O)N(C)C,9,3.0
-26.957096,-9.618927,7.162,CCSC(=O)N(CC)CC,10,2.0
53.330753,-8.592323,3.987,[NH]C1=N[C](c2ccccc2-c2ccccc2)NN1,18,0.0
19.968143,-17.713428,4.259,CCSC1=NCC(C(=O)O)=C([NH])N1,13,0.0
-0.59184587,-16.062017,6.041,O=C(O)CCC(=O)Oc1ccccc1,14,2.0
-39.57886,-20.619074,7.712,CNC1CCN(C(C)C)CC1,11,3.0
-33.15541,-4.2046237,7.238,O=C(CO)OC1CCCCC1,11,2.0
30.52383,35.253635,4.34,Nc1ccccc1-c1n[nH]c2ccccc12,16,0.0
-0.5186357,-40.951023,8.953,C(CCCOCC1CO1)CCOCC1CO1,16,3.0
-39.860424,28.728073,6.335,CC1SC1C,5,2.0
