SMILES,DFT_gap
CCC(C)(CF)CCC(CF)CF,9.9902844
CCCCCCCCC1CCCC1CCCCC,9.990936
CC(C)(CF)CCC(CF)C(CF)CF,9.991101
CCCCCCCC(C)C(CC)CCC,9.991208
CCCCCCCC(CC)CC(C)F,9.991753
FCC12CCC(C)(C1)C2F,9.992025
CC1CC(C)(C)CC1C,9.992025
CCCC1CCCC1C,9.992025
CCC(C)(CC)C(F)CF,9.9921898
CCC(C)CCCCCCCCCC(C)C,9.992297
CCCCCCC(C)CC(F)CCCCC,9.992297
CCCCC(C)(CC)C,9.992569
CCC(C)(C)CCCC,9.992841
CC1C2CC1C21CC1,9.993113
FCC(C)CC2CCC2CF,9.993657
CCCCCC1CCCCCCCCCC(CC)CCC1,9.993657
CCCCCCCCCCCCC(C)CC,9.994474
CCCC(C)CCCC(C)CC(C)F,9.994474
CCCCCCCCCCC(C)CCCC,9.994746
CC12CCCC1CCC2,9.994747
C1CCC2CCC2C1(F)F,9.99529
C1CCC3CCC3C1(F)F,9.99529
FCC(C)C2CCCCC2F,9.995562
FCC(C)C2C3CCC2C3F,9.995562
FCCCC(C)(C)CCCF,9.995834
CCC(C)CCC(C)CCC(F)CC,9.995834
CCCCCCC(C)C(C)C(F)CC,9.995834
CCC(C)(CF)CCF,9.9970894
FCC2CC3CC(C)C2C3F,9.997195
CCC1CC(CC)C(C)C1,9.997195
CC(C)CCCCCCCC1CCCC1,9.997195
CC1C2C3(C)CC2(C)C13,9.997467
CC(C)(CCF)CCCF,9.9976338
CCCC(CF)C(CF)CCCF,9.9976338
CCC2CCC3CCC32,9.998011
CCCCCCCCCCCC(C)CCC,9.998283
CC12CCC3(C)C1CC23,9.998828
CC1C2CC1(C)C2C,9.998828
CCC(CF)C(CF)CCCCCCC(F)F,9.9989948
CCCCC(C)CCCCC(CCC)CCCC,9.9991
CCC(C)CCCCC(C)C(C)C,9.999372
CCCC(CCC)CCCC(CC)CC,9.999644
CC(C)(CF)C(CF)CCCF,9.9998114
CCCC(CF)C(CF)C(F)CCC(C)C,9.9998114
FCC12CCC(CC1)C2F,9.999916
C1CCC23CC(C2)C3C1(F)F,9.999916
CCCCCCCCCCCCCCCCCCCCC,9.999916
CC(C)CC(C)CCCCCCF,10.000188
CC(C)CCC1CCC(CCC(C)C(C)C)C1,10.00046
CC(CCF)C(C)C(C)CC(F)(F)F,10.000628
C1CC2C1C1C3CC1C23,10.000732
CCCC(CC)CCCCCC(C)CC,10.000732
CCC1(C)C2CC1C2,10.001004
C1CC(C1)C1CCC1,10.001004
CCCC(CF)C(CF)CCCC(F)F,10.0014446
CCC2CCCC2(F)F,10.001549
CCCCC(C)CCCCCCC(C)C,10.001549
CC1CCC3CCCC31,10.002637
CC1CCC3C1CCC3,10.002637
CC2CCC3CCCC32,10.002637
CC1CCC3CCCC13,10.002637
CCCC(CCC)CCCCC(C)CC,10.002637
CC(CF)CC(CF)C(C)(C)CF,10.0028056
CCCC(C)(C)CCCF,10.0030778
FCC1CC3CC1CC3F,10.003726
CCCCCCCCC(C)CC(C)F,10.003726
CCCCCCCC(CCCC)CCCC,10.00427
FCCCCCCC(F)C(F)(CF)CCF,10.0044388
CCCC(F)C(F)CC(C)CC(C)C,10.004711
CCCCCCC(C)C(C)CC(C)F,10.005086
CCCCCCC(CCCC)CCCCC,10.005358
C1CCCCCCCCCCCC1,10.006175
CCC(C)C(CF)C(C)C,10.0068886
CC(C)C1CC(C1)C(F)F,10.007535
FCC(F)(C(F)F)C(F)(F)C(F)(F)F,10.0077052
CCCCC(CCCC)CCC(C)CC,10.007807
CCCC(F)C(F)C(C)(C)CC,10.0082496
FCCCC(C)C(C)(C)CF,10.008351
CCCCCCCCC(CC)C(F)CCCCC,10.008351
CC1C2(C)CC1(C)C2,10.008352
CC(C)CC1C2CC1C2,10.008352
CCCCCC(C)(F)C(F)(CF)CCC,10.008794
CCCC1CCCC(C)CC1,10.00944
CCCC1CC(C)CCCC(C)C1,10.00944
CCCCCCC(C)(F)CCCC,10.010528
C1CCCCCCCCC1(F)F,10.010801
CCCCC(C)CCCCCCCC(F)CCC,10.011073
CC(C)CC(C)(C)C,10.011074
CCCCCCCCCCC(F)CCC(C)CC,10.011345
CCCCCCCC(C)CCCCCF,10.011617
FCC12CC3CC1CC3C2F,10.012161
CCCC(F)(CF)C(F)CCCCCCCF,10.0123326
CCC(C)CCCCCCCCC(C)C,10.012433
CCCCCC(C)C(C)CCCC,10.012433
FCCCCC3C(CC3)CF,10.012705
CCC(C)CCCC(C)(F)CC,10.012977
CCC2C3C4CC3(C)C24,10.01325
CCCC(F)C(F)CCC(C)(C)C,10.0136936
CCC(CC)C(C)(C)C,10.013795
CCC(C)C(C)C(C)C,10.013795
CCCC(F)C(F)CC(C)(C)CF,10.0139658
CCCCCCCCCC1CCC(C)C1,10.014338
CCCCC3C(C)CC3,10.014882
CCCC(F)C(F)CCCC(C)(C)C(C)F,10.0158712
CCCCCC(CCC)CCCCCF,10.015971
CC(C)C1C2CCC1C2(F)F,10.016243
CCC(CC)CC(C)CC(C)F,10.016243
CC(C)C(F)(CF)C(C)F,10.0164156
CC(C)C2CCC(C)C2(F)F,10.017059
CCCC1C(C)CCC1C(C)C,10.017059
CCC(CF)C(CF)CCCF,10.0172322
CCC(C)CCC(C)CCF,10.0172322
CCCCCCC1CCC1,10.0173262557387
CCCCCCCCCC1CCCC1CCCCC(C)C,10.017331
CCCCC(CCC3CCCC3)CCC(F)F,10.017603
CCCC(F)(CF)C(C)(F)CCF,10.0177766
FCC1(C)C2C3CCC2C31F,10.017875
FCC1(C)CCC1CF,10.01842
CCC(CC)CCCCCCCC(C)C,10.019508
CCC(CC)CCC1CCC(C)(F)C1,10.020052
CCC1C(C)CCC1C(C)C,10.020597
CCCCCCCC(CC)CCF,10.020869
FCCC(F)(CF)C(F)(CCF)C(F)(F)F,10.021043
CCCC1CCCC1CCCC(C)C,10.021413
CCCCCCCCC(C)C(CC)CC,10.021413
CC(CCC(F)F)CC(C)(C)CF,10.0218596
CCCCC1CCCCCC1,10.021952190771
CCCCC(C)C(C)C(CC)C,10.022229
