SMILES,des_gap,pred_gap,Err_pred_des
CC1(O)C(=N)C1(C)O,4.0808,6.751739,0.6545135819241243
C=CC1=CCC(CCCC(C)(C)C=C)=C1,4.0808,4.4750667,0.0966150416179957
C=CC1CCC(CCCC=O)CCS1,4.8401,5.324769,0.10013615836048156
COCCCC1(C)COC(C)=CC=CC=CO1,4.8401,5.555027,0.1477091399055063
NC(=O)NNC(=O)CCCCCO,4.8401,7.1319885,0.47352090357443555
COCC(CC(C)N)OC(CN(C)C)C(C)C,9.2239,8.049859,0.1272824893010511
CC1CC(O)CCCCCCC2CC12,9.2239,8.582459,0.06954114314248137
CCCCCC(CCOC)CCOOC(C)C,9.2239,8.571921,0.07068362096599302
CC1=C=CCC=CC(C)=C(C)C1,3.9061,4.0501795,0.036885763678950294
CNCCC1=C(CCN)CNCC(C)C1,3.9061,6.62561,0.69622126282618
COC1CC(CO)=C(C)CCN1,6.6238,6.094139,0.07996329914534049
CC1CC(C(CCN)C(C)N)C1,6.6238,7.6011376,0.14754938828044942
CC1CCCC2CCC(O)C12,6.6238,8.342652,0.2594964100458674
CCC1CC=CC2(CCC2C=N)C2CCC1C2,6.6238,5.2031574,0.21447546349123497
CCCC(CC)CCCCCCC(NC)C1CC1CNC,6.6238,8.074114,0.21895495724888964
CCC(CC)N(OC)C(C)CO,6.6238,7.6214967,0.15062300754833804
C=CCCCC1CC=C(C)SC1,6.6238,5.9487367,0.1019148120968241
COC(N)C(C)NC(C)CNCN,8.3744,7.7800927,0.07096714794886304
CC(C)CCCCCC1CC=CC1,8.3744,7.3852053,0.11812126613729179
CCCCC(O)C(=O)C(=O)CC,8.3744,4.7024555,0.4384725448235237
CCOC1CCCCCC(F)CCCC1,8.3744,9.758869,0.16532159571343363
CC1C2CCCCCCC(CC2)C1C,8.3744,9.659621,0.1534702472664903
COC(O)[SH](O)CC(C)(C)C,8.3744,7.8715754,0.06004306511155599
CNC1CCC(OC)CCC(C)C1,8.3744,8.064766,0.03697388109288049
CCC(C)(CC)CCN(C)C,8.3744,8.041582,0.03974229705484027
CCCC(CC(CC)C(C)OO)OC,8.3744,9.048694,0.08051844393883587
CCCC(OC)OOCCC(C)OCN(C)C,7.9729,7.4797907,0.06184817474682549
CCCCCOCNC(CO)C(C)NCCCCCO,7.9729,7.7121663,0.03270249101873981
CCCCC=CCCCCCCC1CCCC1,7.9729,7.6174746,0.04457919251850165
CCCCCOC1CCOC(CC=O)C1CC(C)OC,7.9729,6.7208147,0.1570426438441446
CCC(OC)C1CC(C(C)C)CCCC1(C)C,7.9729,9.235985,0.1584222556718501
CCCCC(O)C(C)C(CC)CO,7.9729,8.599124,0.07854406235785588
CC1CCCCCC2CC3CC3CCC12,7.9729,9.56324,0.19946820495296957
CCCNC(CCC)CCC1CC(C)C1,7.9729,8.064455,0.011483278650005984
CCCCCC(C)C(C)(C)CCl,7.9729,10.005052,0.2548823656202892
CCCCCCCC1C2CCC(CC)C12,7.9729,9.543646,0.19701060577263585
CNC1OCCC(C)(N)C1NOC,7.9729,7.77259,0.02512383695143888
CC(N)CCCCCOCC(C)(C)CCCO,7.9729,7.7754016,0.02477121345374474
CC1=C(C)C2CC2CCCCNN=C1,7.9729,4.850795,0.391589660954572
CC(=C=O)C(C)O,2.7144,6.014829,1.2158963891773353
C=C1CN(C(C)N2CN2)C1(C)C=CC=O,2.7144,5.137267,0.8925976689993861
C=CC1CC=CC(=S)C=CC=CC=C=N1,2.7936,2.730359,0.02263778728035037
CCCC=CCCCCCCc1cc1=O,6.0464,5.1779656,0.14362833404641964
C=CC=C(C)C(=C)CC,6.0464,5.040961,0.1662872471674374
COC1CC(CC(=N)OOO)CCCO1,6.0464,8.155991,0.3489002713326835
CC1CCC1C(O)CP(CO)C(=O)O,6.0464,6.7828894,0.1218062592865014
CCCCC1C=CCCC(C)CCCCC2OC12CN,7.1285,6.517399,0.08572647341958115
CCCCCC(=O)C(C)OC(CC)CCCC,7.1285,7.4823875,0.04964404050285608
CCCC(C)(CCCOC)COOOO,7.1285,8.286274,0.16241480764520283
CCC(C)CCCCNC(C)COCCC(C)CCC(C)=O,7.1285,7.478912,0.04915646723412597
C=C1C=CCC2C(C)CSCC2S1,7.1285,4.9962707,0.2991133258629875
CC(C)CC(C)C(C)C=O,7.1285,6.719207,0.05741645367222294
CCOCC(C)OCC1C=CC(C)(C)C1,7.1285,6.93069,0.027749202257621782
CCNNN=C1[SH]=CC1C=CO,2.9202,2.2828746,0.21824718026231144
COCC(C)CCC(O)OCC(C)C,10.4921,9.169799,0.126028264025964
CC(C)CC(C(C)C)C(C)C(C)C,10.4921,9.506306,0.09395586254609872
CCC(C)CCCCC(CC(C)C)OCOOO,10.4921,8.561959,0.18396133598968775
CCCCC(CC(C)C)CC(C)CO,10.4921,9.131918,0.12963868496380987
CCCC1CCCCC(C)CCCC1C,10.4921,9.784355,0.06745502200949113
CCCCC(C)CCCC(C)CCOO,10.4921,8.13946,0.22422969567719037
CCCCC(CC)CC(C)C(C)CC,10.4921,9.804595,0.06552596776705255
CCCCCCC(CC)C1CC1C,10.4921,9.737263,0.07194339304523617
CCC1CCCCOCCCOCCNCCC1,10.4921,7.719519,0.26425413993993757
COCCOCCC1CC(C)C1CO,10.4921,8.293758,0.20952350889393126
CCOCCCCCCC(COC)COC,10.4921,8.942237,0.14771714906171413
CCCCCCCCCCC1CCCCCCC1,10.4921,9.672603,0.07810613189891276
CCC.CCCCCC(CCC)CCCCO,10.4921,8.777641,0.16340472389829316
COCCCC(CCCC(C)C)CCOC,10.4921,8.953863,0.14660905405772934
CCCC(C(C)C(C)C)N(C)CCC,10.4921,8.086988,0.22923071176440568
C#CCOCCOC(CC)C(C)(C)C,9.4498,8.377816,0.11343983996948635
CC1(OCCCOCCCN)CCCC12CC2,9.4498,8.039102,0.14928341333711054
CCCC1C(NCC)C1(C)C,9.4498,7.8057013,0.1739823852570065
CCCCC(C)OC(CN)CCCC,9.4498,7.8106074,0.1734632020445838
C=C(CCCC)N(C)CCCCCC,9.4498,6.664421,0.29475533010825955
CC1CCCCCC2C(C)CC2CC1,9.4498,9.366631,0.008801185824121252
CCC=CC(CCCC)CCOO,9.4498,6.19129,0.3448231812595612
CC1=CC=CC=CC(C)C(O)CCC1C,9.4498,4.5269732,0.5209450731731807
CCCOC1NC2OC1CCC2CC,9.4498,7.869112,0.16727211001603123
CCCC1(CO)CC(CCCO)O1,9.4498,8.977352,0.04999554039937516
CCC=C(CCOCC)CC1CCCC1,9.4498,6.4084735,0.3218403043801243
CCC(O)CCCC=CC(COC)OC,7.9074,7.4517345,0.05762519376195972
CCCCC1CCC(C)C(CC(C)OC)CCCO1,7.9074,8.824782,0.1160156779119554
CCC=C(C)CCCCCCC(CC)C(C)CCCC,7.9074,9.031907,0.14220945969648732
CSC1=CC(C)C(N)CNNCCCC1,7.9074,6.203417,0.21549221939691676
COC(C)C1(C)COOC(C)CCC(C)C1OC,7.9074,7.3750725,0.06732017107417775
CCCCC1CCCC1C(O)COCCC,7.9074,8.678175,0.09747514638619265
CC(=O)C(O)CN1CCN(C)C1,7.9074,6.9967256,0.11516736737301526
C=CC1COC(N=COC(C)=NCC(C)O)C1=O,4.7908,4.8913627,0.02099078798608589
CCC1=CC=CC=C(C)CCC=C1,4.7908,3.6753526,0.23283114022819248
CCCC(C)COCc1cccc(CC)c1NCCCO,2.2083,6.554287,1.9680237996590635
O=c1ccc2cccccon2ccos1,2.2083,3.336284,0.5107928823961575
C1=C2CCCC(NCC1)NNC1CC21,8.1846,6.9187794,0.1546588259451964
CCC(CC)CC1CCOC1CC(C)C,8.1846,8.834904,0.07945455086882877
CC(CN(C)C(C)O)N(C)C,8.1846,7.877162,0.037562986624234136
C=C1CCCCCCC1C(C)CC,8.1846,7.305957,0.10735321939799905
