SMILES,des_gap,pred_gap,Err_pred_des
CC(C)(C)CC1=C(CO)C1,5.9486,6.840311,0.14990267464866341
C=C1CCCCC=C2CC2C1,5.9486,6.3137813,0.06138944649902362
CC(CC=O)CCCN(OOO)C(C)C(=O)C(C)CO,5.9486,7.02753,0.18137548218553232
CC1CCCC(OOC2CC3C(CCCCO)C3C2)C1,5.9486,8.557505,0.4385745644236735
CN1C(CO)COC2CC21,7.648,7.619368,0.0037437138697093094
CCCCCC(CCSCC)COC,7.648,6.880383,0.10036832967063868
CC(C)=C(CCCNCCN)C1=CC=C1,3.1418,4.9783297,0.584546966232192
COC1CCCCCCCCC(=O)N1,5.5169,6.6124706,0.19858446352680945
CCCCOCCCCCCCOCOC,9.6438,8.71794,0.09600568961349566
CCC(N)OC(CC=C=O)CCCC1C=N1,9.68,5.7591248,0.4050490954690728
CN1CCCCCCCCCC(CCN)N1,9.68,6.654172,0.3125855430098604
CCCCCCCCC(CO)CNCCCC,9.68,7.499097,0.22529991008033434
CCCNCCOC(O)NNCC1CCCC(C)C1,9.68,7.794307,0.1948029719108392
CC1OCC(NNCCNO)CC(O)C(C)O1,9.68,7.3725595,0.23837194758013258
COCC1CCC(C)CCC(OC)C1,9.68,8.490307,0.12290218447850752
C=C1C=CC=C2N=CC=CCCN12,1.3563,3.9719698,1.928533394463442
CC=CC=CCCNC(=N)N=O,0.5558,4.3559213,6.837209910872859
CN1CNCCCCCC(C=N)N1,4.7607,6.4793935,0.3610169685567778
CC1=NCCCSC1(O)SO,4.7607,6.30169,0.32368981486410303
CCCCC1OC=NC=CC1CC,4.7607,5.5442247,0.16458183440979418
CC(C)(C=O)OCCCCN=C1CO1,4.7607,6.139075,0.28953196008962584
CCC1C(C)C(N)C1(C)COC,4.7607,7.6935234,0.6160487758065877
CNOc1cncc2ncsccc=2cccccn1,0.3227,3.8659747,10.980088827666906
COCC(O)CC(C)C=[P+]([O-])O,4.9338,4.845203,0.017957168344674455
C=C1NNNCNOCC1CC(C)CCN,4.9338,6.4010525,0.29738791093590866
CCCCC(O)COCOCC(C)CN,7.0108,7.893028,0.1258383896902188
