SMILES,des_gap,pred_gap,Err_pred_des
CCCC1CCOC(C=O)C1C,6.814,6.5668807,0.0362664069603152
CCC1CCCCCCCCCCCCN1,6.0845,7.366741,0.2107389564335477
CC1CCCCCCCCCCCCOC1C,9.715,8.998064,0.073796804823706
CCCCC(C)OC(C)CCC(C)CC,9.004,8.986472,0.0019466759416061
CCN(C)CCC=C1CCCCCC(OC)CC1,4.792,6.687652,0.3955868345270173
C=C1CCCCC12COC(C)(O)C2,7.4668,7.427443,0.0052709289794372
CCCC(COO)OC,8.561,8.278849,0.0329577563285493
OCC1CC(CO)C1C1CCCC2C=CC2C1,6.0817,6.2253804,0.0236250424527376
CCCC(C)NC=CCCC(C)C1CN1,5.644,6.1841903,0.0957105374353139
CCC(CC)C(C)COCC(C)CCO,7.731,8.664346,0.120727686104252
CCC(C)CCC1CC(C)[PH]1(O)COO,7.358,8.39883,0.1414556148163033
N=C(COCC1CC1)C1C=CC(O)CCC1,8.833,7.0041447,0.207048039332152
CC=C(C)C(CCCC)C(O)CCCCCCO,6.37,7.281159,0.1430390775671559
C#CCCC1CCCCC(C)CCC1,7.233,8.571887,0.1851081178344237
C#CCOCCCCCCC1CCCCC1,8.806,8.699884,0.0120503730782588
CCCCCCCCCC(C(C)NO)C(O)N(O)CCC,7.938,8.697983,0.0957398322103726
CC1CCCCOC[C](CO)OCC1,9.489,7.0194535,0.2602536067506363
CCC(=N)OC(C)(OO)OOO,5.472,6.6304736,0.2117093592359307
COCCCC(C=C=O)CC(C)OC,7.347,7.5053496,0.0215529653025562
CC1NCS(=O)C1NC(O)O,7.908,6.142054,0.2233113200603016
CC1CCCC(C)C(O)CC(C(C)OO)P1,8.792,8.018976,0.0879235428175782
CN1CNCC#CCC1(O)CN,8.855,6.4847007,0.2676792004766739
CCCC1CCOCCC(O)C(OC)O1,6.852,8.11327,0.1840732349544954
COCCCC(C)CCCNNCCCC(C)(C)N,7.268,7.650055,0.0525667214695411
CCCC(C)CCC1C=C(CC)CO1,5.948,7.0461693,0.1846283256566676
CCOC1COCC1CCO,9.11,8.940413,0.0186154253527308
CCCCCSOCCSC,5.668,6.5251164,0.1512202617561808
CC1CC(CCC2CCCC2=O)C1,7.363,7.2317653,0.0178235406446891
CN1CCC2C3NC(C1)ON2N3,5.88,6.9904137,0.1888458615257626
CCOC(C)CC1NCCN1NNCCN,4.289,6.655581,0.5517792020207605
CC(C)C(=O)CC(C)(C)C,9.513,7.177297,0.2455274765766921
CC1CCCCC(CCO)C2C=C(CC1)CN2,8.607,6.924963,0.1954266297854625
CCCCCCC1C(CCC(O)CCC(O)OO)C1OO,7.026,7.8288174,0.1142637870130531
CC1CNCCCONCNC(O)COC1,3.532,8.127091,1.300988507297814
CCCC(C)CCC=CC(C)CCC(CC)CC,9.51,7.250888,0.2375512228403181
CCCC1(C(C)N(C)CC)CC1,8.1416,7.815713,0.040027398942226
CCC(C)CCSC[SH](C=O)CN,5.263,6.286001,0.1943760603162333
CC.CCCC(C=N)CC(C)(O)O,5.0314,7.1198134,0.4150760110963599
CCCC(O)C(O)CC(=O)CNOC,8.019,6.60156,0.176760180095497
CCCC1CC2C1CC1CCCC3CCC(C1)C32,8.776,8.513613,0.0298982740209226
COCCCNCCOCCCCC(C)C,8.387,8.259388,0.0152154560664477
C=C(CC)CCCC(CCCC)CCC(C)CO,8.408,7.4257812,0.1168195468601331
C=C1CCC(NCO)COC2CCC1C2,9.004,6.6910825,0.2568766684174166
CC1CCOC=CCOC(C)(O)CC1,8.163,7.075335,0.133243289747966
CCC1NCCC1SCC1OC1O,7.189,6.613805,0.0800104580331469
CCCC1CCCNC1CCCCC1NN1,5.309,7.164662,0.3495313400466869
C=C(C)C1COC1(C)C(N)CCO,5.091,7.401886,0.4539159273871783
C=C1OCCCCC1CCCCCCCCCC,9.421,7.362007,0.2185535355999064
CC(C)COC1=CC(OCCO)C1,8.966,7.0452557,0.2142253333693126
C=C(CNCC(C)C(C)N)CC1(C)CCC(C)C1,7.856,6.595027,0.1605108235858365
CC1CNCCCC1C(C)(C)O,7.336,7.708547,0.0507834126671111
CCC1CCN(C)C12C=C2NN,8.174,6.526125,0.2015995896472188
CC1=C(OO)C1C1CCCCCC1C,6.283,6.8462453,0.0896459157804992
CCC1CC2CCC1CCCC2C(C)(C)C,7.233,8.95483,0.2380520074212269
CCCCCCCOC(C)C(C)CCOCCCC,8.651,8.12335,0.0609929322121584
CCC(C=CO)(CO)COCCCNOC,3.146,6.385331,1.029666609621624
C=C(C)NCCNCC(=N)CN,6.517,6.454357,0.0096122223083018
CCC(=O)C1CC(C)C1(CO)NN,7.431,6.991289,0.0591725018444428
CC1=CNCCCC(C(N)=O)C1,5.75,6.073411,0.0562453891920006
CCCCOC(=CC(C)C)CCOC,6.887,7.003361,0.0168957782965259
COC(=O)NC(=O)NN(C)CCCN,3.791,6.832432,0.802276917228407
CCC#CC(C)(C)CC,8.743,6.5892673,0.2463379556358536
C=C(CCC(C)OC)C(CC)CO,7.01,7.4871435,0.0680661221883776
CCC1ONCSCCCC(S)C(C)C1=O,4.746,6.2119603,0.3088833366422977
CCCCOC1(OCCO)OCC1CO,9.505,8.677427,0.0870670918600614
CCOCC(CCCCCCC(C)CC)COO,8.512,8.513715,0.0002014556325467
CC(CNOO)C1(C(O)NO)CCC(C)(C)C1,5.47,7.1858225,0.3136786996119637
CCC=CCCCCC(C)C,7.222,7.185635,0.0050352963342194
CCC(CC)CCCC(CC)CC(=O)C1CC1,8.463,6.900392,0.1846399556290351
C=CCCC(CCCC)OCC,7.679,6.8629284,0.106273161804541
CCCOC=CC(C)(CO)CCC,5.774,7.506193,0.299998815554337
COCNCON(O)PC1CNC2C(C)CNNCCC12,5.094,6.768791,0.3287772278622827
C#CCC(C)OC(C)C(C)CC,8.381,8.273755,0.0127961969278889
COCCCOCCCCCCCN,9.91,7.8180075,0.2110991453907925
C#CC1CC(C)CC1CC(CC)C1CC1,7.753,8.334303,0.074977802427664
C=NCCC(C)NC,5.921,6.7288356,0.1364356667341925
CCNPCC(C)CCCCOC(CC)CCN,7.72,7.123792,0.07722899333183
O=CCOCCCCCCOCCCOCCO,6.547,7.5970106,0.1603804204197026
CCCCC1C(CC)COCC1CCOC,9.1,8.226887,0.0959465110694968
CCC(O)CCC1CCCCCO1,9.853,8.920887,0.0946019493140968
C=CCNCC(C)CC(=O)SC=O,4.343,6.0098114,0.3837926321361242
CCC1CCCOOCC1CC,6.852,7.96176,0.161961477539098
CCC1COCC(CCCCC=O)C1,8.115,6.5746064,0.1898205275896957
CCCN(C)C(O)(O)C(C)CC(C)C,6.817,8.434336,0.237250360659845
C=CCCOCC(CCCC(=O)CO)OO,5.382,6.2891307,0.1685489943726539
CCCCOCCNCC(N)C(=O)COO,6.474,6.646293,0.0266130928791412
CCC1(C)CCC(C)C(CCO)COC1,8.256,8.59151,0.0406383017236871
C=C(C)C=CC(CCO)C(O)CC,6.384,6.379341,0.0007297735763971
CC(C)(O)CCCC(N)CO,8.349,7.8917103,0.0547717952602622
CCCC(OC)=C(C)CC(CCO)OOC,9.075,6.881974,0.2416557333029333
CCC(O)C(C)(N)CCCCC#N,5.761,7.875653,0.3670634941971151
C=C1COC(CCCO)CCCCC(CCCO)C1,7.396,7.6930704,0.0401663617742197
CC(CCCC1OC1C)CCOCCCN,7.97,7.7467365,0.0280129828746225
CCC(N)CCC1CCCCCC(C)CC1,9.119,8.125247,0.1089760936892258
CC1C=C2C(C)CC2(COO)CC1,5.472,7.1600056,0.308480549974051
C=C1NCCCC1C(C)NCNNS,3.538,6.1667323,0.7429995226819615
CCC(COCCCSC)CC(C)N,3.061,6.935028,1.2656086495171104
CC=C=C(O)CCCCC(C)=NO,3.573,6.374208,0.7839932755332283
CC1CC2CCCCC2C2CCC12,10.645,8.259343,0.2241105545065446
CCCC(CC)C(C)CCNSC(C)SC,5.135,6.3986673,0.2460890624167973
CCC(C)CC(COC)C(C)C,8.977,8.809843,0.0186205788844277
CCOC(C)SCC(C)NNCOS,8.381,7.01757,0.1626810620727466
CCCCCC(C)CCC(C)CC,9.233,7.800732,0.15512486344929
CCCCC#CCCCCNCC,5.3089,6.043514,0.138374008715897
CSC1CCCC2CCCCC2C1,2.683,6.9998775,1.6089740785875295
CC1CC(OCCOO)CCCC1CO,9.11,8.447926,0.0726755688664156
C#CCCOC(OCCCO)C(C)CC,7.859,8.793121,0.1188600760771885
CCC(CC)C1CC(C)OC(C)N1,8.855,7.992943,0.0973525906201475
CCCCCCC(CCO)CC(O)CC,7.818,8.006335,0.0240899537584915
CCCC1CC1C1(C)OC1(C)N,8.558,8.181937,0.0439428350417851
CCCCCCNC1(N)CCCCCCN1,5.342,7.752862,0.4513032528310625
C#CCOCC(CCCC)CC(=O)O,6.912,7.4838085,0.0827269267152857
CCC1CCCCCCCCCCOCCC1,8.708,8.765947,0.0066544949378669
CC.CC=CCCCC,6.887,7.5758057,0.1000153425384783
COC(OCCOCCCO)C1OCCCC1O,8.316,7.8452625,0.0566062376784728
CC1=CCCOC(C)(C)C1CCOOO,9.075,6.4185147,0.2927256497469814
CCCCCCCCC(C)CC#N,7.962,8.857959,0.112529363682509
CC(C)C(C)CC(S)CSC#[SH],8.354,6.241935,0.2528208311819304
CCCCC1C(O)CC(C)CC1C(N)O,4.348,8.018675,0.8442214467488196
CSC(=CCC(C)(O)O)NCCO,9.029,6.2653127,0.3060900795590456
CC1CCCC#CC(N)N1,7.622,6.908667,0.0935886791452464
C=C(C)C(O)C1=CCC(C)C(CO)CC1CC,5.143,6.200707,0.2056595292185013
COCCCC(COC)COC(O)C(C)CN,9.29,7.9780645,0.1412201790044843
C=CC1C(CO)CC12CC1CC2CC1C,8.074,7.8946857,0.0222088499827522
CCC(NN)OC(CCC(=O)O)OC,6.142,7.6194763,0.2405529661933205
CCNCCCCCC(C1CC1)C(C)(C)C,9.023,8.491925,0.0588578921020737
C=C(OCC)C(C)(C)C(C)CO,7.584,6.8428607,0.0977240639899853
CCCC(C)COCC(C)OC,7.451,8.901818,0.1947145719301651
CCCCC1CC(C)NCCCC1OO,8.561,7.8082314,0.0879299902161236
CCC(CC)C(C)(CC(C)C)OC,9.064,8.990152,0.0081473566848202
COCSOCOC(=O)C1CCOCC1,6.101,6.7431507,0.1052533537222701
CCCCC(C)NC(C)(N)CO,8.417,7.481698,0.1111205849835038
CCC1CC(=O)CCCCCCC1O,7.649,7.042658,0.07927077367331
C#CC1(C)CCCCC(C)SCN1,5.14,6.763896,0.3159330716856723
CCN(CCCO)COCCSS(C)=N,7.358,6.1239543,0.1677148279271458
CCCCCOC(CCCO)CCCC(CC)CC(C)CCCCC,9.63,8.691618,0.0974436172691338
CCCCC(N)C(C)COC1CCC1OC,7.856,7.7815223,0.0094803622686692
CC1CCCCCC(OCCO)COC(O)O1,6.917,8.887664,0.2849015239623477
C#CCCCCCCC1CCCCOOC1,7.75,7.8599787,0.0141907968828755
CCC1(C)CC2(COC2C)C1C,9.108,7.856227,0.1374366577644332
CC(C)CCOC(C)CCCCCCO,6.231,8.687509,0.3942398624729333
CCC(N)CC(CC)[SH](C)COO,6.585,7.2861495,0.1064767656492843
CC1CCCC1CC1CCCC(=N)N1,8.781,7.254318,0.1738619476933507
CC(=N)CC1CC2COC1C2,6.319,7.1874013,0.1374270129305668
CCC(C)C(O)(CCNC1CCCC=NO1)C(=N)O,7.622,6.311192,0.1719769042672462
C=C(O)CC(C)CC,4.874,6.0324593,0.237681423683464
CCC1CCOC(C(C)O)CC1,9.51,8.666166,0.0887311981554161
CC(OO)[SH]1NN(C)C(N)P1,5.3498,7.5430455,0.4099677596886744
CCCCCC(CCO)OC,5.2409,6.882037,0.3131403313897922
CCCC1CC(O)=CC(C)=C(C)CCC(CN(C)C)O1,7.758,6.5048513,0.1615298606280538
CCCCC(C)COCC(NNN)OC,7.638,7.700519,0.0081852690403796
CCC(C)N(CN)C(CCO)CCNCCO,4.8,8.191438,0.7065495252609254
CC1OPC12CCCCN2,8.248,7.655721,0.0718087793899668
CCOCC(C)(O)C(COC)OCOC,6.011,8.668789,0.4421542022811694
COC(=N)CC1CC1OC,9.41,8.032617,0.1463744298304559
C#CC(CC)C1(C=C)C(CC)C1(C)O,4.9008,7.317243,0.4930711514880522
COCP(C)CCC(C)OC(O)(CO)OC,7.168,8.431491,0.1762682614581925
CC1OCC(O)C(S)C(C)O1,6.751,7.200219,0.0665411278859294
C=C1C(=COCCCC)CC1CCO,7.905,6.4772425,0.1806144883254146
CC1CCCCC(=O)C(=O)CC1,5.021,6.2062836,0.2360652398597764
CCOC1CC(N)CCC(C)(OC)C(C)C1,6.49,7.8496313,0.209496349693263
C=C1C2CCC(O)CC1C2C1CC1C,5.8287,7.0095015,0.2025840165413136
CCCCC1CCCCC2CC12C,6.346,7.641399,0.2041284126548634
COCCCCCCC(C)(C)C,8.651,7.7512593,0.1040042391706375
CCCCC=NC(O)C1=CCC1,6.523,6.0478425,0.0728433998782777
C=CCCC(N)CCCCCCCCCC,8.942,6.463923,0.2771278262751611
C=CCCC(CCC(O)CC)CCC(OCC)N(C)O,5.257,7.321164,0.3926505861070099
CC(O)CC(PO)C(C)(C)C,8.422,8.82175,0.047464935549136
CC(C)COCCOC1OC12C=C2,8.966,6.999629,0.2193141846206872
CCNC(C)C(S)CC(O)CCO,6.629,6.205058,0.0639526176136135
COC(C)CCOCCCC(C)C,9.456,8.456652,0.1056840431871752
COCC(O)CC(CO)CPP(C)OO,6.441,8.2557125,0.2817439076471469
C=C1CCCCC(C)(OO)NN1,5.7062,6.7857685,0.189192196016812
OCC#CCCCCC1CCC12CC2,4.999,7.262062,0.4527029551418097
CCCCOCCOCCC(C)C(C)C(C)CC,7.608,8.704195,0.1440845192669569
CCCCCC(CCC=C(C)C)CCCC(C)CCCC,8.906,7.8384895,0.1198641890331571
CC(NCN)C(C)N(C)O,8.634,7.570002,0.1232334863319423
CC(CN)CCCCSCC=N,4.408,6.3385468,0.4379643268896749
CC1COC2CC(C1)OC2OCCCO,6.324,8.524766,0.3480022087796891
CC1CCCOC(=O)CCC(C)CCC1,6.934,7.2072177,0.0394026093638386
CCCCCCC(CCO)CCCCCO,7.949,8.460241,0.0643151739525756
CCC(C)CCCCC(CO)C(C)CC,7.502,8.945493,0.1924143887557719
C#CC1CC(C)(CCC)C1CCC(C)CN,8.936,7.670233,0.1416480782422618
COCC(CC(CC(C)C)C(C)=O)C1CC(C)O1,6.212,7.6399207,0.2298648923884955
NCC1OCCCCC1NNC1CC1,8.359,8.012861,0.0414091097223286
CCC(CC)C1=CCC(C(C)CC)C1C(CN)NO,4.871,6.136259,0.2597534549331742
CC=C1NCCCC(CNNC)CC1CC,3.706,6.636541,0.7907557716513736
C#CC(CCCCOC1CCC1C)OC,8.049,7.0471754,0.1244657215294237
CCCCCCCC=C1CCCC1,3.78,6.9765353,0.8456442646248632
C1=COCCCCCCCCCCCOC1,7.606,7.3735976,0.0305551377967756
CCCCCCCCC(CCC)C(C)SC,6.917,7.0097985,0.013416007917293
COC(C)COCC(N)C(CN)C(C)C,8.411,8.16197,0.0296076401676607
SSCCC1CCCCSCC1,5.042,6.1013737,0.210109812075635
OCC1OC1CC1CCONC1O,7.734,8.368589,0.0820519008592083
CC12COC1OCC21CC1O,8.321,8.318675,0.0002794085808519
CCCCN(O)CCCCCC1CN1CC,8.046,7.740215,0.0380046203484322
CCCC(C)CCCNOCC1CC1CCC,8.049,7.6923237,0.0443131215439951
COC12OCC13CCCCC(O)C1(CC1C)C32,6.471,8.13426,0.2570329435345858
CCC=CCC1(C)OCC(CCC)O1,7.538,7.283467,0.0337666733950005
NNCC(O)CCCCCON,6.844,7.7404857,0.1309885546730527
CCC1C(C)=CNC1(C)NC,7.187,6.7356734,0.0627976307803274
C=CCOCCOO.S,6.914,7.0023985,0.0127854340332314
CCC(O)CCCOCC1(CO)CC1,7.622,8.890549,0.1664325250662146
CCCCCCOPC,8.855,8.652631,0.0228536639221639
CCC(C)CCC(CC)C(CC)OO,7.701,8.18573,0.0629437709997078
CCC(=CCC(C)CC1CC1)OOC(N)=O,8.172,6.179137,0.243864754048038
CCC1C(OO)C=CCC1(CC)OC,7.633,6.9714456,0.0866703051938527
