SMILES,des_gap,pred_gap,Err_pred_des
CCCCCCC1C(N)NCC1C1CCCCCC1C,8.618,7.706547,0.10576157073018504
CCC.CCCCCC(C)S,8.618,7.055249,0.18133566788438582
CC=C1CCC=CC=CC=C(CSCN)C1,5.333,5.670321,0.0632516384214168
CCCCCCOCCOCC,5.333,9.00007,0.6876185295753042
CCCNCC=C1CC(O)C(COC)C2CC12,7.184,6.148749,0.14410511210129365
C1CCC2SCSCCNC2CCNC1,7.184,6.436697,0.10402324523585944
CC1PPC1C(CCP)C(CO)CO,7.184,7.825428,0.08928563600128103
CCCC(O)CC1CCNC1C,7.184,7.8873286,0.09790209141499744
CCC1CC(C)CCC(C)C(O)C1C,9.11,8.827682,0.030989951543043726
CCCCCC(C)(CCC)COCCCOC,9.11,7.927095,0.12984687855424257
CC(CO)CN(CO)COCO,9.11,7.860634,0.137142277706075
CCCC1CCCCNC(NN)N1,5.053,8.25037,0.6327666783365853
C=CC12C(OC)NN1C2CN,4.218,5.552894,0.31647560821431914
C#CC1CC(CCC(C)C)CO1,6.928,8.263073,0.19270683711450592
CC(O)CNCC(O)=NC(C)CO,6.928,6.9699054,0.006048697522275727
CCC=CCC1CCCCC2CCCC=C12,5.1756,5.7512336,0.11122064644259047
CSSC(=CO)SCCCSC(=O)S,4.569,5.5113325,0.20624480453093796
NCC(O)(CON)C1CNOCN1,4.569,8.284864,0.8132773967299584
CC=CNC1=NCCCC(N)[SH]1CNCNN,5.178,5.055773,0.023605102091141295
CC(CO)COCCCCC(C)C(C)CO,7.11,8.317148,0.16978174523462217
CCCC1CCCC(C)C2CCCC12,7.11,9.740817,0.37001646554252093
CC1C=CC(F)=CC(C)C(O)CCC1C,5.108,6.0828648,0.19085057974795214
C=CCC(CC)CC1CC(C)N1,4.746,6.666055,0.4045628323818226
C#CC(CC)C1(C=C)C(CC)C1(C)O,4.9008,7.317243,0.4930711514880522
CCCCC#CC(CC)C(CC)CC,4.9008,8.075886,0.6478709134641442
[CH]CCCC(C)(C)C(C)N,5.219,5.379358,0.030725774054190084
C=C1CCCCC(OC)C=CCC1CC(C)COC,5.638,6.4973655,0.15242381601648242
