SMILES,des_gap,pred_gap,Err_pred_des
CCC(O)C1C(C)[C](C)N=CCNN(N)NN1ON,2.4337,4.1660676,0.7118246292682928
C=CC(C1CC1)C(CCC=CC)OO,2.4337,6.862736,1.8198776452020273
CCC(C)=CCCCCC1C=CS1=S,2.4337,4.022824,0.6529661875240961
CCC1CCOCCNCCCCCCO1,7.3206,7.8350983,0.07028088771433527
CC(CN)CSCCCCCCO,7.3206,6.3836637,0.1279862778559964
CCC(CC=C(O)CNSCC=O)CNC,4.0111,5.6916094,0.4189647185633354
C=C1CCCCC(O)C(C)=C1CC,4.0111,6.4483404,0.60762394753424
CNC=[SH]C(CSC)OC,4.0111,4.132941,0.030375899178668384
C=CCC=NCNCCCCCC,4.0111,5.3052783,0.3226492237139473
CCCCCCC(C)OC(CO)OCC,14.084,9.145513,0.3506452299863972
CCOC(=O)CCCC(CC)NOC,14.084,6.779047,0.518670334256667
COC1OCCCCC2CCCC1CCOC2C,14.084,8.855236,0.371255605405652
CCC1NC(C)(C)C(CO)(COCO)CO1,14.084,8.3117695,0.4098431208837239
CCC(CCCCOC)OCC1CC1,14.084,9.005496,0.3605867633424134
CC(C)C(C)(C)CCN,14.084,8.126455,0.4230009012349591
CCSc1cccccnccc1S,3.8534,5.0986996,0.3231690376556154
CCCS(=CC#CC(C)CC)CC,3.8534,4.069294,0.05602687907564176
CC1CC1=NCCC(O)S,3.8534,6.190947,0.6066193636312478
C=CC1C=CC=CC=C=CCC(O)(OC)C1,3.8534,4.1067677,0.06575171391990065
CCC(C)NOC(N)C1C[N]C1,7.1751,6.5268583,0.09034601193391735
CCCC(CCCOCN)C1=CC=C1,7.1751,4.7711554,0.33503987995138185
CCCCC1CC(CCN(C)N)CNCC1N,7.1751,7.067672,0.014972366124810595
CC1SC2CCSCC2(C#N)S1,7.1751,5.1986895,0.2754540757962405
CCCC(C)(O)CSC=O,7.5817,6.4476995,0.1495707365348187
C=C1CC1CCC(C)(N)C=NN,7.5817,6.273877,0.17249731012043953
CC1(O)CCCCCOCOC(=O)ON1,7.5817,8.12838,0.07210517717363442
CCC1=CC(C)(S)CCCC=CC1,7.5817,5.1876144,0.3157716025537849
CCC1CCCCC=CCCCNN1C,7.5817,6.135153,0.19079456892616944
CCCCCC=C1CNC(C)=CN1CC,5.3389,5.861894,0.09795915463986728
C=CC(CCCNCCOC)=NCO,5.3389,6.9219217,0.296507095102269
